beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Aardig Geitje","Brouwerij Van Steenberge","Pilsner - Other",5,0,"Too light for my preference","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,2.25,"2020-12-09 16:41:59",https://untappd.com/c/972821561,https://untappd.com/beer/299617,https://untappd.com/brewery/7778,Belgium,Ertvelde,Vlaanderen,"malty,earthy,dry,watery",,Bottle,972821561,299617,7778,,2.96,3,,0,0
"Delirium Tremens","Delirium - Huyghe Brewery","Belgian Strong Golden Ale",8.5,24,"Out of a can poured into a proper beer glass, this brew never ceases to amaze my taste buds","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,4,"2020-12-09 16:42:43",https://untappd.com/c/972821613,https://untappd.com/beer/4485,https://untappd.com/brewery/285,Belgium,Melle,Vlaanderen,"light,sweet,smooth",,Can,972821613,4485,285,,3.87,3.87,,0,0
"Chimay Grande Reserve Fermentée en Barriques - Rum (2019)","Bières de Chimay","Belgian Strong Dark Ale",10.5,0,"Smooth, dark, tasty.","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.75,"2020-12-15 21:35:58",https://untappd.com/c/975206189,https://untappd.com/beer/3579613,https://untappd.com/brewery/378,Belgium,Baileux,Wallonie,"strong,dark,molasses",,Bottle,975206189,3579613,378,,4.16,4.02,,0,0
Yggdrasil,"Beer of the Gods - Wacken Brauerei","Red Ale - Irish",5.3,0,"Was not good at all","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,0.5,"2021-01-17 22:28:22",https://untappd.com/c/987909198,https://untappd.com/beer/3141905,https://untappd.com/brewery/268278,Germany,Wacken,Schleswig-Holstein,,,Bottle,987909198,3141905,268278,,3.09,3.14,,0,0
"Stone Tangerine Express Hazy IPA","Stone Brewing","IPA - American",6.7,75,"Good IPA, just not my preference","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3,"2021-01-30 16:39:20",https://untappd.com/c/991412840,https://untappd.com/beer/1512388,https://untappd.com/brewery/1204,"United States",Escondido,CA,"citrusy,hoppy,citrus,bitter",,Can,991412840,1512388,1204,,3.69,3.69,,0,0
"Pampel Booze","KUEHN KUNZ ROSEN","IPA - Other",6.5,65,"Good beer, I will definitely buy again","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.75,"2021-04-10 18:43:45",https://untappd.com/c/1015454011,https://untappd.com/beer/2567645,https://untappd.com/brewery/139128,Germany,Mainz,Rheinland-Pfalz,"grapefruity,fruity,hoppy,bitter",,Can,1015454011,2567645,139128,,3.63,3.64,,1,0
Aufbruch,"KUEHN KUNZ ROSEN","IPA - Imperial / Double",8.5,60,"Either I am uneducated on this flavor or it is exotic. But, nonetheless, it is interesting and tasty.","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.5,"2021-04-10 19:16:12",https://untappd.com/c/1015479353,https://untappd.com/beer/1804319,https://untappd.com/brewery/139128,Germany,Mainz,Rheinland-Pfalz,"malty,heavy,strong,hoppy,bitter",,Bottle,1015479353,1804319,139128,,3.64,3.65,,1,0
"Tropical Torpedo","Sierra Nevada Brewing Co.","IPA - American",6,35,"Drinkable, not the best by any means though. Tastes like a lager covered with hops","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,2.75,"2021-04-27 20:26:09",https://untappd.com/c/1021597017,https://untappd.com/beer/1741133,https://untappd.com/brewery/1142,"United States",Chico,CA,"light,smooth,hoppy",,Bottle,1021597017,1741133,1142,,3.62,3.62,,0,0
"Elvis Juice",BrewDog,"IPA - American",6.5,40,"Absolutely tasty, I love this brew upon just one taste.","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,4,"2021-04-27 21:26:38",https://untappd.com/c/1021616141,https://untappd.com/beer/1441008,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,"grapefruity,fruity,sweet,hoppy",,Bottle,1021616141,1441008,241,,3.72,3.72,,0,0
"Hop Head IPA 7","Craftwerk Brewing","IPA - American",8,65,Solid,"Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.5,"2021-04-29 19:23:51",https://untappd.com/c/1022022505,https://untappd.com/beer/2641025,https://untappd.com/brewery/391836,Germany,Bitburg,Rheinland-Pfalz,"strong,hoppy,bitter",,Bottle,1022022505,2641025,391836,,3.43,3.44,,0,0
"Surreal Cereal","KUEHN KUNZ ROSEN","Stout - Imperial / Double Oatmeal",8.5,30,"This beer is a treat, and one of my most favorite stouts. I was hesitant on buying because of the price, but got a beer that was worth it in my opinion. Cheers Kuehn! 🍻","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,4,"2021-05-22 19:39:43",https://untappd.com/c/1030748591,https://untappd.com/beer/4206320,https://untappd.com/brewery/139128,Germany,Mainz,Rheinland-Pfalz,"oatmeal,chocolate,vanilla,honey",,Bottle,1030748591,4206320,139128,,3.71,3.71,,1,1
"Vilzbacher Weizen","KUEHN KUNZ ROSEN","Wheat Beer - Hefeweizen",5,10,"Not a weizen guy really, but tasty!","KUEHN KUNZ ROSEN Brauerei",Mainz,Rheinland-Pfalz,Deutschland,49.9917,8.28587,3,"2021-06-11 19:00:18",https://untappd.com/c/1038376395,https://untappd.com/beer/3244248,https://untappd.com/brewery/139128,Germany,Mainz,Rheinland-Pfalz,"banana,light,smooth",,Draft,1038376395,3244248,139128,,3.51,3.56,,1,0
"Pfeffer in der Gose","KUEHN KUNZ ROSEN","Sour - Traditional Gose",4,9,"Very mild sour, which does the trick for me!","KUEHN KUNZ ROSEN Brauerei",Mainz,Rheinland-Pfalz,Deutschland,49.9917,8.28587,4,"2021-06-11 19:02:23",https://untappd.com/c/1038377569,https://untappd.com/beer/4148312,https://untappd.com/brewery/139128,Germany,Mainz,Rheinland-Pfalz,"dry,peppery,salty,crisp",,Draft,1038377569,4148312,139128,,3.54,3.59,,1,0
"Beerensache 2021 - Brombeere","KUEHN KUNZ ROSEN","Fruit Beer",5,12,"Bitter, which is good! The excitement to try this beer was worth it!","KUEHN KUNZ ROSEN Brauerei",Mainz,Rheinland-Pfalz,Deutschland,49.9917,8.28587,3.75,"2021-06-11 19:04:56",https://untappd.com/c/1038379023,https://untappd.com/beer/4333678,https://untappd.com/brewery/139128,Germany,Mainz,Rheinland-Pfalz,"yeasty,fruity,sour,smooth,Blackberry",,Draft,1038379023,4333678,139128,,3.24,3.45,,1,0
"Mystique IPA","KUEHN KUNZ ROSEN","IPA - American",7,65,"Originally from a bottle, it wasn't the most impressive. Now, that I have had it from the actual place fresh and on draft, it's a solid IPA. Very simple, but refreshing.","KUEHN KUNZ ROSEN Brauerei",Mainz,Rheinland-Pfalz,Deutschland,49.9917,8.28587,3.75,"2021-06-11 21:06:34",https://untappd.com/c/1038464365,https://untappd.com/beer/838296,https://untappd.com/brewery/139128,Germany,Mainz,Rheinland-Pfalz,"malty,floral,fruity,sweet,hoppy",,Draft,1038464365,838296,139128,,3.62,3.62,,1,0
"BraufactuM Progusta","Radeberger Gruppe","IPA - Other",6.8,50,"This beer on draft is so much better than a bottle. Balanced and drinkable. Good job Braufactum!",das!Burger,"Wiesbaden, Landeshauptstadt",Hessen,Deutschland,50.0831,8.24054,4,"2021-07-03 13:36:32",https://untappd.com/c/1047380957,https://untappd.com/beer/314318,https://untappd.com/brewery/4936,Germany,"Frankfurt am Main",Hessen,"light,smooth,hoppy",,Draft,1047380957,314318,4936,,3.62,3.62,,0,0
